tile,assignment_id,Class,dataset,rscore,rscore2,Rscore,x,y,farea,fprop,cntry,year,label_group,usage,label,image
GH0138332,626,2,v2.0.0,,,0.830310881,-0.2035,9.8675,3.577353621,0.096978635,GH,2021,3,train,3cl/v2-0-0/labels/GH0138332_626_2021-04.tif,3cl/v2-0-0/images/GH0138332_2021-04.tif
GH0158285,628,2,v2.0.0,,,0.768722467,0.1665,9.7075,0.674422008,0.226841518,GH,2021,3,train,3cl/v2-0-0/labels/GH0158285_628_2021-04.tif,3cl/v2-0-0/images/GH0158285_2021-04.tif
GH0185410,639,2,v2.0.0,,,0.830310881,-2.5385,9.4825,1.33309188,0.401626276,GH,2021,3,train,3cl/v2-0-0/labels/GH0185410_639_2021-04.tif,3cl/v2-0-0/images/GH0185410_2021-04.tif
GH0304003,756,2,v2.0.0,,,0.768722467,0.1765,8.5425,0.747519443,0.433334662,GH,2020,3,train,3cl/v2-0-0/labels/GH0304003_756_2020-12.tif,3cl/v2-0-0/images/GH0304003_2020-12.tif
GH0088551,953,2,v2.0.0,,,0.728205128,-0.9785,10.2625,0,0,GH,2017,3,validate,3cl/v2-0-0/labels/GH0088551_953_2017-02.tif,3cl/v2-0-0/images/GH0088551_2017-02.tif
GH0219736,1036,2,v2.0.0,,,0.728205128,-0.3535,9.2175,0.749077918,0.353954082,GH,2018,3,train,3cl/v2-0-0/labels/GH0219736_1036_2018-02.tif,3cl/v2-0-0/images/GH0219736_2018-02.tif
GH0068054,1839,2,v2.0.0,,,0.728205128,-0.0735,10.4275,0.883236357,0.792032047,GH,2022,3,train,3cl/v2-0-0/labels/GH0068054_1839_2022-03.tif,3cl/v2-0-0/images/GH0068054_2022-03.tif
GH0143174,1864,2,v2.0.0,,,0.728205128,-0.8035,9.8275,2.537579859,0.314433195,GH,2017,3,train,3cl/v2-0-0/labels/GH0143174_1864_2017-02.tif,3cl/v2-0-0/images/GH0143174_2017-02.tif
GH0421315,1948,2,v2.0.0,,,0.630252101,-1.0085,7.6475,0.625199691,0.168247768,GH,2019,3,train,3cl/v2-0-0/labels/GH0421315_1948_2019-02.tif,3cl/v2-0-0/images/GH0421315_2019-02.tif
GH0662682,1975,2,v2.0.0,,,0.768722467,0.5265,6.0625,1.929880514,0.580337213,GH,2017,3,train,3cl/v2-0-0/labels/GH0662682_1975_2017-02.tif,3cl/v2-0-0/images/GH0662682_2017-02.tif
GH0000679,2392,2,v2.0.0,,,0.811740891,-0.2135,11.0825,0,0,GH,2017,3,train,3cl/v2-0-0/labels/GH0000679_2392_2017-02.tif,3cl/v2-0-0/images/GH0000679_2017-02.tif
GH0231446,2472,2,v2.0.0,,,0.835616438,-0.0785,9.1275,0.582734676,0.568239796,GH,2018,3,train,3cl/v2-0-0/labels/GH0231446_2472_2018-02.tif,3cl/v2-0-0/images/GH0231446_2018-02.tif
GH0292227,2501,2,v2.0.0,,,0.6625,-0.7785,8.6375,0,0,GH,2019,3,train,3cl/v2-0-0/labels/GH0292227_2501_2019-02.tif,3cl/v2-0-0/images/GH0292227_2019-02.tif
GH0295117,2502,2,v2.0.0,,,0.6625,-1.4035,8.6125,1.572091196,0.246950733,GH,2021,3,train,3cl/v2-0-0/labels/GH0295117_2502_2021-12.tif,3cl/v2-0-0/images/GH0295117_2021-12.tif
GH0346458,2511,2,v2.0.0,0,0,0.6625,-0.8035,8.2075,3.7372012,0.823082749,GH,2019,3,train,3cl/v2-0-0/labels/GH0346458_2511_2019-08.tif,3cl/v2-0-0/images/GH0346458_2019-08.tif
GH0547076,2539,2,v2.0.0,,,0.6625,-0.0885,6.7775,1.320137147,0.166753029,GH,2021,3,train,3cl/v2-0-0/labels/GH0547076_2539_2021-08.tif,3cl/v2-0-0/images/GH0547076_2021-08.tif
GH0665071,2546,2,v2.0.0,,,0.6625,-0.1335,6.0475,2.72961732,0.656429369,GH,2019,3,train,3cl/v2-0-0/labels/GH0665071_2546_2019-02.tif,3cl/v2-0-0/images/GH0665071_2019-02.tif
GH0015199,2958,2,v2.0.0,,,0.768722467,-2.1435,10.8775,1.465227788,0.681082589,GH,2019,3,train,3cl/v2-0-0/labels/GH0015199_2958_2019-02.tif,3cl/v2-0-0/images/GH0015199_2019-02.tif
GH0294205,3062,2,v2.0.0,,,0.694174757,0.0765,8.6225,0.366671751,0.550641741,GH,2018,3,train,3cl/v2-0-0/labels/GH0294205_3062_2018-02.tif,3cl/v2-0-0/images/GH0294205_2018-02.tif
GH0346474,3082,2,v2.0.0,,,0.728205128,-0.7235,8.2075,0.331775035,0.099948182,GH,2019,3,train,3cl/v2-0-0/labels/GH0346474_3082_2019-02.tif,3cl/v2-0-0/images/GH0346474_2019-02.tif
GH0412427,3090,2,v2.0.0,,,0.694174757,-0.2435,7.7125,0,0,GH,2021,3,train,3cl/v2-0-0/labels/GH0412427_3090_2021-12.tif,3cl/v2-0-0/images/GH0412427_2021-12.tif
GH0445509,3099,2,v2.0.0,,,0.694174757,-1.0335,7.4725,0,0,GH,2018,3,train,3cl/v2-0-0/labels/GH0445509_3099_2018-02.tif,3cl/v2-0-0/images/GH0445509_2018-02.tif
GH0013172,3511,2,v2.0.0,,,0.694174757,-0.9585,10.8975,0.73949178,0.628587372,GH,2018,3,train,3cl/v2-0-0/labels/GH0013172_3511_2018-02.tif,3cl/v2-0-0/images/GH0013172_2018-02.tif
GH0052188,3535,2,v2.0.0,,,0.694174757,-0.8835,10.5575,0.463655107,0.051618304,GH,2019,3,train,3cl/v2-0-0/labels/GH0052188_3535_2019-02.tif,3cl/v2-0-0/images/GH0052188_2019-02.tif
GH0169985,3569,2,v2.0.0,,,0.630252101,-0.6935,9.6125,0.198383933,0.639508929,GH,2018,3,train,3cl/v2-0-0/labels/GH0169985_3569_2018-02.tif,3cl/v2-0-0/images/GH0169985_2018-02.tif
GH0176126,3570,2,v2.0.0,,,0.630252101,-1.2185,9.5625,0.314575568,0.314293686,GH,2018,3,train,3cl/v2-0-0/labels/GH0176126_3570_2018-02.tif,3cl/v2-0-0/images/GH0176126_2018-02.tif
GH0287804,3611,2,v2.0.0,,,0.630252101,-1.8835,8.6725,0,0,GH,2020,3,train,3cl/v2-0-0/labels/GH0287804_3611_2020-02.tif,3cl/v2-0-0/images/GH0287804_2020-02.tif
GH0344081,3631,2,v2.0.0,,,0.630252101,-0.2385,8.2275,0.208095431,0.127052774,GH,2020,3,train,3cl/v2-0-0/labels/GH0344081_3631_2020-12.tif,3cl/v2-0-0/images/GH0344081_2020-12.tif
GH0471606,3652,2,v2.0.0,,,0.830310881,-2.1285,7.2875,0.5410447,0.493781888,GH,2022,3,train,3cl/v2-0-0/labels/GH0471606_3652_2022-12.tif,3cl/v2-0-0/images/GH0471606_2022-12.tif
GH0715072,3672,2,v2.0.0,,,0.830310881,-0.2585,5.7325,0.181198642,0.051080198,GH,2022,3,train,3cl/v2-0-0/labels/GH0715072_3672_2022-12.tif,3cl/v2-0-0/images/GH0715072_2022-12.tif
GH0091121,3841,2,v2.0.0,,,0.811740891,-0.6485,10.2425,1.337817962,0.632055166,GH,2022,3,train,3cl/v2-0-0/labels/GH0091121_3841_2022-04.tif,3cl/v2-0-0/images/GH0091121_2022-04.tif
GH0022646,4170,2,v2.0.0,,,0.6625,-1.8785,10.8125,3.141412724,0.691864636,GH,2021,3,train,3cl/v2-0-0/labels/GH0022646_4170_2021-04.tif,3cl/v2-0-0/images/GH0022646_2021-04.tif
GH0022811,4171,2,v2.0.0,,,0.6625,-1.0535,10.8125,1.549099174,0.467354911,GH,2019,3,train,3cl/v2-0-0/labels/GH0022811_4171_2019-02.tif,3cl/v2-0-0/images/GH0022811_2019-02.tif
GH0038914,4174,2,v2.0.0,,,0.6625,-0.1535,10.6725,1.547039424,0.652841996,GH,2018,3,train,3cl/v2-0-0/labels/GH0038914_4174_2018-02.tif,3cl/v2-0-0/images/GH0038914_2018-02.tif
GH0051965,4175,2,v2.0.0,,,0.6625,-1.9985,10.5575,2.582123624,0.743742028,GH,2022,3,train,3cl/v2-0-0/labels/GH0051965_4175_2022-04.tif,3cl/v2-0-0/images/GH0051965_2022-04.tif
GH0097383,4176,2,v2.0.0,,,0.6625,-0.6635,10.1925,2.091336892,0.558314732,GH,2017,3,train,3cl/v2-0-0/labels/GH0097383_4176_2017-02.tif,3cl/v2-0-0/images/GH0097383_2017-02.tif
GH0149032,4177,2,v2.0.0,,,0.6625,-2.4935,9.7775,1.496938749,0.529635682,GH,2020,3,train,3cl/v2-0-0/labels/GH0149032_4177_2020-02.tif,3cl/v2-0-0/images/GH0149032_2020-02.tif
GH0167339,4178,2,v2.0.0,,,0.6625,-1.4035,9.6325,4.064471056,0.853455835,GH,2017,3,train,3cl/v2-0-0/labels/GH0167339_4178_2017-02.tif,3cl/v2-0-0/images/GH0167339_2017-02.tif
GH0241780,4180,2,v2.0.0,1,0,0.768722467,-0.1785,9.0475,0.393755063,0.127431441,GH,2019,3,train,3cl/v2-0-0/labels/GH0241780_4180_2019-02.tif,3cl/v2-0-0/images/GH0241780_2019-02.tif
